Text,Lemmatized Text,Clusters(K Means),Clusters(DBSCAN)
güncel tanı tedavi yöntemlerini takip kullanan,güncel tanı tedavi yöntem takip kullan,3,0
tercihen beyaz eşyayatak uyku ürünleri satışında deneyimli,tercihen beyaz eşya yat uyku ürün satış deneyim,1,1
erkek adaylar askerlik ilişiği olmayan adaylar,erkek aday asker ilişik olmayan aday,1,1
güneş enerjisi tesisi yapımında 2 yıl saha tecrübesine sahip,güneş enerji tesis yapım 2 yıl saha tecrübe sahip,5,0
yenilenebilir enerji kaynaklarına ilgi duyan teknolojik gelişmeleri takip,yeni enerji kaynak ilgi duy teknolojik geliş takip,1,1
saha mühendisi takım arkadaşları arıyoruz,saha mühendis tak arkadaş ara,1,1
hızlı değişen kampanya kurgularına çabuk uyum sağlayabilecek,hızlı değiş kampanya kurgu çabuk uyum sağla,1,1
hedef odaklı takım çalışmasına yatkın,hedef odak tak çalış yatkın,2,0
iletişim becerisi dinamiği yüksek olan,iletişim beceri dinamik yüksek olan,4,0
sıfır sermaye işini kurmak isteyen,sıfır sermaye iş kur iste,1,1
insanlarla kolay iletişim kurabilen,insan kolay iletişim kur,1,1
baybayan iş ortakları aranmaktadır,bay bayan iş ortak aran,1,1
satın alma tecrübesine sahip,sat al tecrübe sahip,5,0
mesleki anlamda sürekli geliştirmeyi hedefleyen,mesleki anlam sürekli geliştir hedefle,1,1
analitik düşünebileniç kaynaklı motivasyonu yüksekplanlama organizasyon gelişime açıklık yenilikçilik yetkinliklerine güvenen aynı zamanda sonuç odaklı çalışma konusunda güvenen,analitik düşün iç kaynak motivasyon yüksek planla organizasyon gelişim açık yenilik yetkin güven aynı zaman sonuç odak çalış konu güven,2,0
dönem sonu raporlamalarının,döne son raporla,1,1
tercihen mikro deneyimi olan,tercihen mikro deney olan,4,0
SGK vergi mevzuatına hakim,sgk vergi mevzuat hakim,1,1
titiz sorumluluk sahibi takım çalışmasına yatkın,titiz sorumluluk sahip tak çalış yatkın,5,0
fethiye ikamet ediyorsanız,fethiye ikamet et,0,0
ERP sistemleri raporlaması konusunda tecrübeli,ERP sistem raporla konu tecrübe,1,0
sistemli düzenli çalışma becerisine sahip,sistem düzenli çalış beceri sahip,5,0
mağaza açılış kapanışlarının sistemsel işlemlerini,mağaza aç kapan sistem işlem,1,1
sezon sonu kapanış  işlemlerinin,sezon son kapan işlem,1,1
3-4 yıllık avukatlık deneyimine sahip,3-4 yıllık avukat deneyim sahip,5,0
sorumluluk başarma duygusu yüksek,sorumluluk başar duygu yüksek,1,1
ETA V8 SQL muhasebe programını kullanabilen,eta v8 SQL muhasebe program kullan,3,0
idari personel işlerini yürütecek,idari personel iş yürüt,1,1
diksiyonu düzgün ekip çalışmasına yatkın,diksiyon düzgün ekip çalış yatkın,2,0
müşterinin mutluluğu motive ediyorsa,müşteri mutlu motive et,0,0
mağaza içi operasyonu satışı yürütebileceğinize inanıyorsanız,mağaza iç operasyon satış yürüt inan,1,1
takımın parçası düşünebilecekseniz,tak parça düşün,1,1
yeniliklere açık sektörel gelişmeleri takip,yenilik açık sektörel geliş takip,1,1
prezantabl müşteri memnuniyeti odaklı çalışan,prezantabl müşteri memnuniyet odak çalış,2,0
istenen kalitede sürede ekip çalışmasına uygun çalışma sağlayabilecek,iste kalite süre ekip çalış uygun çalış sağla,2,0
kadın erkek makinacılar alınacaktır,kadın erkek makina alın,1,1
satış süreçlerine hakim,satış süreç hakim,1,1
perakende satış pazarlama alanlarında kariyer hedefi olan,perakende satış pazarla alan kariyer hedef olan,4,0
net ingilizce konuşan anlayan yazabilen,net ingilizce konuş anla yaz,1,1
işyeri adresine yakın ikamet,işyeri adres yakın ikamet,1,1
dış ticaret alanında kariyer yapmayı amaçlayan,dış ticaret alan kariyer yap amaçla,1,0
ihracat mevzuatına vakıf,ihracat mevzuat vakıf,1,1
gümrük nakliye işlemlerine hakim,gümrük nakliye işlem hakim,1,1
kablo elektrik malzemeleri alanında deneyim sahibi olmaktercih sebebidir,kablo elektrik malzeme alan dene sahip ol tercih sebep,5,0
yurt dışındaki mevcut firma müşteri olan ticari ilişkileri yürütmek,yurt dış mevcut firma müşteri olan ticari ilişki yürüt,4,0
üniversitelerin 4 yıllık gıda mühendisliği bölümünden MEZUN,üniversite 4 yıllık gıda mühendis bölüm mezun,1,1
yeni mezun yetiştirilmek yıl tecrübeli,yeni mezun yetiş yıl tecrübe,1,0
hazır yemek üretiminde çalışmaya istekli,hazır yemek üretim çalış istek,2,0
yasa engelli kadrosu kapsamında değerlendirilebilecek,yas engel kadro kapsam değerlendir,1,1
güleryüzlü diksiyonu düzgün,güleryüz diksiyon düzgün,1,1
microsoft ofis programlarına hakimexcel-world vs,microsoft ofis program hakim excel-world vs,1,1
muhasebe ofis işlemlerine yardımcı olabilecek,muhasebe ofis işlem yardımcı ol,1,1
lojman servis sağlanmaktadır,lojman servis sağ,1,1
konaklı  alanya bölgesinde bulunan TUI family life pascha bay tesisimizde görevlendirilmek sıhhi tesisatçı pozisyonunda,konak alanya bölge bulun TUI family lif pascha bay tesis görevlen sıhhi tesisat pozisyon,1,1
hasar servis danışmanı aranmaktadır,hasar servis danışman aran,1,1
üniversitelerin bilgisayar mühendisliği elektronik haberleşme mühendisliği benzeri bölümlerinden mezun,üniversite bilgisayar mühendis elektronik haberleş mühendis benzeri bölüm mezun,1,1
hedef prim bazlı çalışabilecek,hedef prim baz çalış,2,0
minimum önlisans tercihen 4 yıllık üniversite mezunu,minimum önlisans tercihen 4 yıllık üniversite mezun,1,1
ekibini yönetebilecek liderlik becerileri olan,ekip yönet lider beceri olan,4,0
good command in english,good command in english,1,1
ev işlerinde yardımcı,ev iş yardımcı,1,1
çözüm odaklılığı sonuç odaklılığı yüksek,çöz odak sonuç odak yüksek,1,1
askerlik hizmetini tamamlamış erkek adaylar içindir,asker hizmet tamamla erkek aday için,1,1
metal kesme form verme kalıpçılığı konusunda tecrübeli,metal kesme form ver kalıp konu tecrübe,1,0
kalıphane takım tezgâhlarını kullanabilen CNC torna freze taşlama,kalıphane tak tezgah kullan CNC torna freze taşla,3,0
e-ticaret satış pazarlama konusunda tecrübeli,e-ticaret satış pazarla konu tecrübe,1,0
iyi derecede netsis bilen,iyi derece netsis bil,1,1
3 yılı ekip yönetimi 10 yıllık muhasebe alanında deneyim sahibi,3 yıl ekip yönet 10 yıllık muhasebe alan dene sahip,5,0
planlamazaman yönetimi organizasyon yeteneği güçlü,planla zaman yönet organizasyon yetenek güçlü,1,1
uzun dönem çalışmaya uygun,uzun döne çalış uygun,2,0
north shield pub cafede geç çalışma saatlerine uygun,north shield pub cafe geç çalış saat uygun,2,0
iş takibi sonuçlandırma odaklı,iş takip sonuçlandır odak,1,1
sorumluluk alma insiyatif kullanma konusunda başarılı,sorumluluk al insiyatif kullan konu başarı,3,0
insan ilişkileri güçlüöğrenmeye gelişime açık,insan ilişki güçlü öğren gelişim açık,1,1
üniversitelerin 4 senelik hemşirelik bölümünden mezun,üniversite 4 sene hemşire bölüm mezun,1,1
microsoft SQL server yönetimi konusunda 2 yıl tecrübeli karmaşık sorgular yazabilecek optimizasyonunu yapabilecek ileri derecede T-SQL bilgisi olan,microsoft SQL server yönet konu 2 yıl tecrübe karmaşık sorgula yaz optimizasyon yap ileri derece T-SQL bilgi olan,4,10
C# programlama dili  MVC entitiy framework devexpress bileşenleri XAF WEB android bilgi sahibi olan,C# programla dil MVC entitiy framework devexpress bileşen XAF web android bilgi sahip olan,5,0
aranan personelden istenilen özellikler iş yönetiminde tecrübeli hakkediş metraj autocad kesin hesap geçici kabul yapabilecek bilgisayar programlarını aktif kullanabilen,aran personel iste özellik iş yönetim tecrübe hakket metraj autocad kesin hesap geçici kabul yap bilgisayar program aktif kullan,3,-1
dokuma desen programları bilen,dokuma de program bil,1,1
armür jakar desen tasarımı yapabilecek,armür jakar de tasar yap,1,0
uzun dönem çalışmak isteyen,uzun döne çalış iste,2,0
orta anadolu bölge müdürlüğü bağlı konya karapınar bulunan şubemizde şube yöneticisi görev çalışma arkadaşı aramaktayız,orta anadol bölge müdür ' bağ konya karapınar ' bulun şube şube yönet görev çalış arkadaş ara,2,0
FMCG  sektöründe 2 yıl tecrübeli,FMCG sektör 2 yıl tecrübe,1,0
insan ilişkileri kuvvetli analitik düşünce yapısına sahip,insan ilişki kuvvet analitik düş yapı sahip,5,0
iletişimi temsil yönü güçlü,iletişim temsil yön güçlü,1,1
temizlik kurallarını bilen uygulayan,temiz kural bil uygula,1,1
tercihen otellerde benzer görevlerde bulunmuş,tercihen otel benzer görev bulun,1,1
ağırlıklı internet satışı yaptığımız mağazada yoğunluk olmayacaktır,ağırlık internet satış yap mağaza yoğun ol,1,0
video çekim gerekli ekipman kullanılacak materyalleri hazırlayarak çekim sürecini yönetmek,video çek gerekli ekipman kullan materyal hazırla çek süreç yönet,3,0
günlük yayınlanacak bant videolarının hazırlığını planlamasını,günlük yayınla bant video hazırlık planla,1,1
stüdyonun ışık kamera düzenini sağlamak,stüdyo ışık kamera düzen sağla,1,1
2 yıl benzer pozisyonda tecrübesi bulunan,2 yıl benzer pozisyon tecrübe bulun,1,0
tercihen sony a7s2 sony A6500 kamera bilgisi olan,tercihen sony a7s2 sony A6500 kamera bilgi olan,4,0
teknik lise MYO mezunu,teknik lise myo mezun,1,1
arıza tespit müdahalede bulunabilen,arıza tespit müdahale bulun,1,1
bakım onarım prosedürlerine hakim,bakı on prosedür hakim,1,1
muhasebe alanında 8 yıl tecrübeli,muhasebe alan 8 yıl tecrübe,1,0
vergi usul kanununu bilen,vergi usul kanun bil,1,1
kurumlar vergisi KDV muhtasar resmi beyannameleri hazırlayıp beyan edebilen,kurum vergi kdv muhtasar resmi beyanname hazırla beyan et,0,0
tercihen SMM belgesi olan,tercihen SMM belge olan,4,0
dijital pazarlama bütçesini yönetecek harcamalar sonucu elde edilen ciro müşteri dataları günlükhaftalık takip edebilecek raporlayabilecek kanal bazlı performans analizi yapabilecek,dijital pazarla bütçe yönet harca sonuç el et ciro müşteri data günlük hafta takip et raporla kanal baz performans analiz yap,0,0
iletişim yönü kuvvetli ekip çalışmasına uygun,iletişim yön kuvvet ekip çalış uygun,2,0
tercihen transfüzyon merkezi sertifikası olan,tercihen transfüzyon merkezi sertifika olan,4,0
sorumluluk sahibi ekip çalışmasına yatkın dikkatli,sorumluluk sahip ekip çalış yatkın dikkatli,5,0
takım çalışmasına yatkın iletişim planlama becerileri güçlü,tak çalış yatkın iletişim planla beceri güçlü,2,0
izmir ikamet  edenedecek,izmir ' ikamet et et,0,0
tercihen enerji sektörü deneyimi bulunan,tercihen enerji sektör deney bulun,1,1
UFRS yönetim raporlaması konusunda deneyim sahibi,ufrs yönet raporla konu dene sahip,5,0
internet portallarına ilanların çıkılması,internet portallarına ilan çık,1,1
aday özgeçmiş formatlarının oluşturulması,aday özgeçmiş format oluş,1,1
ekibe organizasyonel destek verilmesi,ekip organizasyonel destek ver,1,1
1 yıl asistanlık deneyimi olan,1 yıl asistan deney olan,4,0
computer literacy in microsoft applications including excel word & powerpoint  primavera PMP certification is plus,computer literacy in microsoft applications including excel word & powerpoint primavera PMP certification is plus,1,1
rezervasyon product geçmişi bulunan,rezervasyon product geçmiş bulun,1,1
MS office uygulamalarına hâkimexceli iyi derecede bilen,ms office uygula hakim excel iyi derece bil,1,1
sejour acenta otomasyon programına hakim,sejour acenta otomasyon program hakim,1,1
experience in EMC hitachi storage boxes and SANNAS technologies,experience in EMC hitachi storage boxes and san nas technologies,1,1
strong knowledge in TCPIP networking technologies virtual switch VLAN DNS DHCP etc,strong knowledge in TCP ıp networking technologies virtual switch VLAN dns DHCP etc,1,1
vmware vrlı vrnı NSX vsan konusunda bilgili,vmware vrlı vrnı NSX vsan konu bilgi,1,0
vmware certified professional VCP sertifikasına sahip,vmware certified professional VCP sertifika sahip,5,0
masaüstü sanallaştırma sistemleri VDI konusunda bilgili,masaüstü sanal sistem VDI konu bilgi,1,0
felaket kurtarma çözümleri konusunda tecrübeli,felaket kurtar çözüm konu tecrübe,1,0
tercihen gıda sektöründe 3 yıllık deneyimi olan,tercihen gıda sektör 3 yıllık deney olan,4,0
balıkesirin bandırma,balıkesir bandır,1,1
susurluk bursanın mustafakemalpaşa ilçesinde ikamet edebilecek olan,susurluk bursa mustafakemalpaşa ilçe ikamet et olan,0,0
havalandırma baca sistemlerine hakim,havalan ba sistem hakim,1,1
rizede ikamet edebilecek,rize ikamet et,0,0
satış pozisyonlarında deneyimi bulunan,satış pozisyon deney bulun,1,1
ekip anlayışı çalışabilen,ekip anlayış çalış,2,0
bölge pazarlama sorumlusu aranmaktadır,bölge pazarla sorumlu aran,1,1
muhasebe bilgisi olantelefon santralini yönlendirebilecekteklif sunum hazırlayabilene mail takibi yapabilenms office uygulamasını bilentercihen ingilizce bilen eleman alımı yapılacaktır,muhasebe bilgi olan telefon santral yönlen teklif sunu hazırla e mail takip yapabilenms office uygula bil tercihen ingilizce bil eleman al yap,4,0
ilaç endüstrisinde 3 yıl bölge müdürü görev yapmış,ilaç endüstri 3 yıl bölge müdür görev yap,1,0
müşteri odaklı liderlik özellikleri gelişmiş,müşteri odak lider özellik geliş,1,1
üretim planlama raporlama konusunda deneyimli,üretim planla raporla konu deneyim,1,0
tercihen IFS programını kullanabilen,tercihen IFS program kullan,3,0
good knowledge coding in PL  SQL read and interpret SQL and identify the problem,good knowledge coding in PL SQL read and interpret SQL and identify the problem,1,1
üniversitelerin halkla ilişkilerreklamcılıkpazarlama bölümlerinden mezun,üniversite halk ilişki reklam pazarla bölüm mezun,1,1
dijital pazarlama sektör dinamiklerine hakim,dijital pazarla sektör dinamik hakim,1,1
sosyal medya kanallarının yönetilmesi trendlerin takip,sosyal medya kanal yönet trend takip,1,1
çalışma yeri gebze olan şirketimizde görevlendirilmek,çalış yer gebze olan şirket görevlen,4,0
DİJİTAL PAZARLAMA MÜDÜRÜ arayışımız bulunmaktadır,dijital pazarla müdür ara bulun,1,1
mali konularda yönetime raporlama yapabilecek,mali konu yönet raporla yap,1,3
muhasebenin sevk idaresini üstlenebilen,muhasebe sevk idare üstlen,1,1
maliyet muhasebesinden anlayan firmamıza,maliyet muhasebe anla firma,1,1
gelen telefon iletişimini doğru,gelen telefon iletişim doğru,1,1
hızlı etkin koordinasyonu sağlamak,hızlı etkin koordinasyon sağla,1,1
randevuların sistemde kayıtlarını gerçekleştirmek,randevu sistem kayıt gerçek,1,1
turizm sektöründe minimum 5 yıllık tecrübe sahibi,turizm sektör minimum 5 yıllık tecrübe sahip,5,0
mesleki trendleri güncel gelişmeleri takip,mesleki trend güncel geliş takip,1,1
ileri seviyede ingilizce arapça bilen,ileri seviye ingilizce arapça bil,1,1
iyi derecede SQL bilen SQL performans optimizasyonu yapabilen,iyi derece SQL bil SQL performans optimizasyon yap,1,0
tercihen veri yönetişimi veri mimari veri modelleme veri sözlüğü sınıflandırma etki analizi veri soyağacı uygulamaları konularında bilgili,tercihen veri yönet veri mimari veri modelle veri sözlük sınıf etki analiz veri soyağacı uygula konu bilgi,1,0
teknolojik gelişmelere yeniliklere açık,teknolojik geliş yenilik açık,1,1
benzer pozisyonda 2 yıl otel deneyimine sahip,benzer pozisyon 2 yıl otel deneyim sahip,5,0
iletişimi kuvvetli değişime gelişime açık,iletişim kuvvet değişim gelişim açık,1,1
analitik düşünme hızlı karar verme yeteneğine sahip,analitik düşün hızlı karar ver yetenek sahip,5,0
fiyatlandırma faturalandırma yapabilecek,fiyat fatura yap,1,0
bilgi akışını organizasyonunu sağlanması konusunda destek olacak,bilgi ak organizasyon sağ konu destek ol,1,0
planlama konusunda 2 yıl deneyimli,planla konu 2 yıl deneyim,1,0
radyoloji raportörü 1 yıl deneyime sahip,radyoloji raportör 1 yıl deney sahip,5,0
parmak klavye kullanabilen,parmak klavye kullan,3,0
hızlı rapor yazabilen,hızlı rapor yaz,1,1
analitik düşünebilen sonuç odaklı çalışabilen araştırmacı,analitik düşün sonuç odak çalış araştırma,2,0
talaşlı imalat bilgisi olan,talaş imalat bilgi olan,4,0
üretim-montaj hatları makine yakınında çalışmaya istekli,üretim-montaj hat maki yakın çalış istek,2,0
finans alanında operasyonel süreçlerin yürütülmesi yönetilmesini sağlayacak,finans alan operasyonel süreç yürüt yönet sağla,1,1
yönetici pozisyonunda 5 yıl çalışmış,yönet pozisyon 5 yıl çalış,2,0
ekip yönetebilen liderlik yönü güçlü,ekip yönet lider yön güçlü,1,1
personel arıyoruz,personel ara,1,1
rezervasyon departmanının işleyişine hâkim,rezervasyon departman işle hakim,1,1
etkili satış iletişim becerilerine güvenen,etki satış iletişim beceri güven,1,1
paydaşlarla süreçleri yönetebilecek geliştirebilecek,paydaş süreç yönet geliştir,1,1
stratejik bakış açısı analitik düşünme yetkinliklerine sahip,stratejik bakış açı analitik düşün yetkin sahip,5,0
problem çözme kabiliyetin yüksek,problem çöz kabiliyet yüksek,1,1
e-ticaret sosyal medya yaratıcı kampanya görsel içeriklerin oluşturulmasını sağlayarak,e-ticaret sosyal medya yarat kampanya görsel içerik oluş sağla,1,1
etkin kullanılmasına yön vermek,etkin kullan yön ver,3,0
tercihen SAP HR modülünde deneyimli,tercihen sap HR modül deneyim,1,1
disiplinli çalışabilen,disiplin çalış,2,0
riskleri öngörüp önlem alabilen çözüm odaklı,risk öngör önlem al çöz odak,1,1
at least 2 years experience in aviation,at least 2 years experience in aviation,1,1
insan ilişkilerinde başarılı olmasıdır,insan ilişki başarı ol,1,1
marmara bölge müdürü arayışımız bulunmaktadır,marmara bölge müdür ara bulun,1,1
iletişim ikna yeteneği güçlü,iletişim ikna yetenek güçlü,1,1
analitik sonuç odaklı dinamik,analitik sonuç odak dinamik,1,1
etkileme ikna kabiliyeti yüksek,etkile ikna kabiliyet yüksek,1,1
askerlik görevini tamamlamış 1 yıl tecilli olan,asker görev tamamla 1 yıl tecil olan,4,0
insan sağlığını planda tutarak ürün güvenliğinin kalitesinin korunmasının sağlanması,insan sağlık plan tut ürün güvenlik kalite koru sağ,1,1
tercihen endüstriyel mutfak sektöründe çalışmış,tercihen endüstriyel mutfak sektör çalış,2,0
fonksiyonel yetkinlikler işi kaliteli yapma,fonksiyonel yetkin iş kalite yap,1,0
yurt dışı yüklemelerini sipariş takibini yapabilecek,yurt dış yükle sipariş takip yap,1,0
MS office word excel uygulamalarından etkin düzeyde bilgisi olan,ms office word excel uygula etkin düzey bilgi olan,4,0
üretim sektöründe standart maliyet raporlama alanlarında 2 yıl deneyim sahibi,üretim sektör standart maliyet raporla alan 2 yıl dene sahip,5,0
büyüyen türkiye organizasyonumuz izmir ege serbest bölgede bulunan fabrikamızda görev alacak mekanik tasarım mühendisi arayışımız bulunmaktadır,büyü türki organizasyon izmir ege serbest bölge bulun fabrika görev al mekanik tasar mühendis ara bulun,1,1
dijital pazarlama platformlarına hakim yönetmiş,dijital pazarla platform hakim yönet,1,1
performans bazlı pazarlama etkin rol almış,performans baz pazarla etkin rol al,1,1
tüketici deneyim odaklı tasarım pazarlama konularına etkin rol almış,tüket dene odak tasar pazarla konu etkin rol al,1,0
müşteri odaklı iletişim becerileri güçlü,müşteri odak iletişim beceri güçlü,1,1
görevi 1 yıl mesleki tecrübeye sahip,görev 1 yıl mesleki tecrübe sahip,5,0
rekabetçi piyasa koşullarında mücadele edebilecek,rekabet piyasa koşul mücadele et,0,0
ürünlerimizin teknik özelliklerini pazarlama mesajlarını iyi anlayıp anlatabilecek,ürün teknik özellik pazarla mesaj iyi anla anlat,1,1
şirketimiz pazarlamasatış departmanında,şirket pazarla satış departman,1,1
puantaj PDKS iş hukuku SGK mevzuatına hakim,puantaj PDKS iş hukuk sgk mevzuat hakim,1,1
mağaza yönetici yardımcısı istanbul,mağaza yönet yardımcı istanbul,1,1
tercihen otomotiv tecrübesi olan,tercihen otomotiv tecrübe olan,4,0
yoğun stresli iş temposuna ayak uydurabilen,yoğun stres iş tempo ay uydur,1,1
ankarada ikamet edebilecek olan adayların başvurularını beklemekteyizingilizce dilbilgisi test edilecektir,ankara ikamet et olan aday başvuru bekle * ingilizce dilbilgisi test et,0,0
ingilizce dilbilgisi test edilecektir,* ingilizce dilbilgisi test et,0,0
benzer görevde 5 yıl deneyimi olan,benzer görev 5 yıl deney olan,4,0
organizasyon becerisi iyi,organizasyon beceri iyi,1,1
genel bilgisayar kullanımını bilen,genel bilgisayar kullanım bil,1,1
adaylarımızı ilanımıza başvurmaya davet ediyoruz,aday ilan başvur davet et,0,0
iletişim organizasyon planlama becerileri kuvvetli,iletişim organizasyon planla beceri kuvvet,1,1
takım çalışmasına yatkın yaratıcı,tak çalış yatkın yarat,2,0
proses raporlama bilgisi olan,proses raporla bilgi olan,4,0
yurt içi yurtdışı alternatif tedarikçilerin bulunarak iletişime geçilmesi,yurt iç yurtdışı alternatif tedarik bulun iletişim geç,1,1
bağlı yönetici verilen görevlerin getirilmesi,bağ yönet ver görev getir,1,1
türkiyenin köklü gıda üreticilerinden,türkiye kök gıda üret,1,1
SOYYİĞİT GROUP edirne entegre yağ tesislerinde görevlendirilmek SATINALMA UZMANI aranmaktadır,SOYYİĞİT group ' edirne entegre yağ tesis görevlen satınal uzma aran,1,1
mağazaya gelen ürünleri depolamak,mağaza gelen ürün depola,1,1
stok takibi raporlamak,stok takip raporla,1,1
nebim V3 programını etkin kullanabilen,nebi V3 program etkin kullan,3,0
endüstriyel saha tesisi uygulamaları konusunda deneyimli,endüstriyel saha tesis uygula konu deneyim,1,0
bursa ilinde ikamet edebilecek,bur il ikamet et,0,0
yapı merkezi inşaat sanayi aşnin tanzanyada yapımını üstlendiği projelerinde görevlendirilmek,yapı merkezi inşaat sanayi a ş ' nin tanzanya yapım üstlen proje görevlen,1,1
bakım ekibi yönetiminde 5 yıl tecrübe sahibi,bakı ekip yönetim 5 yıl tecrübe sahip,5,0
HMI scada yazılımları konusunda deneyimli,HMI scada yazılım konu deneyim,1,0
tercihen demir-çelik sektöründe tecrübesi olan,tercihen demir-çelik sektör tecrübe olan,4,0
tercihen enerji yöneticiliği sertifikasına sahip,tercihen enerji yönet sertifika sahip,5,0
MS office temel çizim programları autocad SAP uygulamalarına hakim,ms office temel çizi program autocad sap uygula hakim,1,1
problem çözme planlama organizasyon becerileri yüksek,problem çöz planla organizasyon beceri yüksek,1,1
disiplinli sorumluluk sahibi analitik düşünen çözüm sonuç odaklı,disiplin sorumluluk sahip analitik düşün çöz sonuç odak,5,0
hukuk alanında kariyer hedefleyen,hukuk alan kariyer hedefle,1,1
akıcı derecede ingilizce konuşabilen,ak derece ingilizce konuş,1,1
KVKK ekibimize güç katacak,KVKK ekip güç kat,1,1
insan ilişkilerinde başarılı iletişim becerileri gelişmiş dinamik,insan ilişki başarı iletişim beceri geliş dinamik,1,1
planlama organizasyon ikna kabiliyeti güçlü,planla organizasyon ikna kabiliyet güçlü,1,1
analitik düşünen hızlı karar verebilen girişken çözüm odaklı olan iletişim becerileri insan ilişkileri kuvvetli ekip çalışmasına yatkın sorumluluk almaya istekli olan,analitik düşün hızlı karar ver girişken çöz odak olan iletişim beceri insan ilişki kuvvet ekip çalış yatkın sorumluluk al istek olan,4,0
satış odaklı güçlü iletişim yetkinliklerine sahip,satış odak güçlü iletişim yetkin sahip,5,0
müşteri ziyaretleri gerçekleştirerek ihtiyaçların belirlenmesinde çözüm üretilmesinde aktif rol oynamak,müşteri ziyaret gerçek ihtiyaç belirle çöz üret aktif rol oyna,1,1
yeni proje yapılanmalarına liderlik hedef stratejileri belirlemek,yeni proje yapılan lider hedef strateji belirle,1,1
benzer pozisyonda 6 ay deneyim sahibi,benzer pozisyon 6 ay dene sahip,5,0
iletişim yeteneği güçlü dinamik,iletişim yetenek güçlü dinamik,1,1
saha noktalarında çalışabilecek enerjiye sahip,saha nokta çalış enerji sahip,5,0
tercihen alanında 3 yıl tecrübeli,tercihen alan 3 yıl tecrübe,1,0
coral draw photoshop freehand masaüstü yazılımlarını iyi derecede kullanan tercihen 3D max autocad programlarında yetkin windows ofis programları konusunda bilgili,coral draw photoshop freehand masaüstü yazılım iyi derece kullan tercihen 3D max autocad program yetkin windows ofis program konu bilgi,3,0
yeniliklere açık devamlı geliştirebilen,yenilik açık devam geliştir,1,1
sonuçhedef müşteri odaklı çalışabilecek,sonuç hedef müşteri odak çalış,2,0
bina teknolojileri kapsamında 1992 yılında kurulan RCL security solutions dubai ofisiyle projelendirme taahhüt hizmetleri vermektedir,bina teknoloji kapsam 1992 yıl kur RCL security solutions dubai ofis proje taahhüt hizmet ver,1,0
otomotiv sektöründe geliştirmiş geliştirmek isteyen,otomotiv sektör geliştir geliştir iste,1,1
satış alanında 5 yıl tecrübeli,satış alan 5 yıl tecrübe,1,0
modernes call center in bestlage,modernes call center in bestlage,1,1
direkt neben der metro,direkt neben de metro,1,1
otomasyon konusunda çalışmış,otomasyon konu çalış,2,0
kumanda bilgisi iyi olan,kuma bilgi iyi olan,4,0
diksiyonu düzgün tezgahtarlar alınacaktır,diksiyon düzgün tezgahtar alın,1,1
yeni mezun aydır işsiz olan,yeni mezun ay iş olan,4,0
python programlama dili konusunda deneyimli,python programla dil konu deneyim,1,0
makine öğrenmesi algoritmaları konusunda deneyimli,maki öğren algoritma konu deneyim,1,0
for native instructor TESOL TEFL CELTA or DELTA certificate,for native instructor TESOL TEFL celta or delta certificate,1,1
gerekli lisans eğitimi almış,gerekli lisans eğitim al,1,1
donanım gelişime açık,donanım gelişim açık,1,1
kurumumuzun misyonunu taşıyabilecek,kurum misyon taşı,1,1
mağazanın tertip düzeninden sorumlu olacak,mağaza tertip düzen sorumlu ol,1,1
prezantabl çalışma arkadaşı aranıyor,prezantabl çalış arkadaş aran,2,0
zaman yönetimi önceliklendirme becerileri gelişmiş,zaman yönet öncelik beceri geliş,1,1
KPMG dünya genelinde 154 ülkede değer katmak birlikte çalışan 200000e yakın uzmanıyla denetim vergi danışmanlık hizmetleri sunan küresel firma ağıdır,"kpmg dünya genel 154 ülke değ kat birlikte çalış 200,000'e yakın uzman denet vergi danışmanlık hizmet sun küresel firma ağ",2,0
analitik düşünce yeteneği olan,analitik düş yetenek olan,4,0
üroloji ortopedi branşlarında portföyü olan,üroloji ortopedi branş portföy olan,4,0
gerekli raporlamaları üst yönetime yapabilecek,gerekli raporla üst yönet yap,1,0
QDMS ERP programları konusunda tecrübe sahibi,QDMS ERP program konu tecrübe sahip,5,0
çerkezköyçorlu lokasyonunda ikamet edenedebilecek adaylar tercih edilecektir,çerkezköy çorlu lokasyon ikamet et et aday tercih et,0,0
bayan endüstri mühendisi aramaktayız,bayan endüstri mühendis ara,1,1
CMM konusunda tecrübeli,CMM konu tecrübe,1,0
DEA PC-DMIS programına hakim program yapabilmesi,DEA _PC DMIS program hakim program yap,1,0
standart ölçüm aletlerini kullanabilmesi,standart ölçü alet kullan,3,0
minimum 1-3 yıl muhasebe tecrübesi olan,minimum 1-3 yıl muhasebe tecrübe olan,4,0
muhasebe uygulamalarına hakim,muhasebe uygula hakim,1,1
LUCA ETA programlarına hakim,lu eta program hakim,1,1
günlük muhasebe kayıtlarını tutabilecek,günlük muhasebe kayıt tut,1,1
enerjik etkili konuşma becerisine sahip,enerjik etki konuş beceri sahip,5,0
ses tonunu etkili kullanabilen diksiyonu düzgün,ses ton etki kullan diksiyon düzgün,3,0
öğrenmeye açık istekli enerjisi yüksek,öğren açık istek enerji yüksek,1,1
SEO alanında 5 yıl deneyime sahip,seo alan 5 yıl deney sahip,5,0
UX kavramları konusunda fikir sahibi,UX kavram konu fikir sahip,5,0
google analytics search consolea hakim,google analytics search console'a hakim,1,1
hotjar UX araçları hakkında bilgi sahibi,hotjar UX araç hakkında bilgi sahip,5,0
